index,name,type,multiplier
0,体力,number,1
1,ノックバック回数,number,1
2,移動速度,number,2
3,攻撃力（1段目）,number,1
4,攻撃間隔の基準値,number,2
5,射程,number,4
6,生産コスト,number,100
7,再生産時間の基準値,number,2
8,旧形式の予約値（当たり判定位置候補）,number,1
9,当たり判定の幅,number,4
10,赤い敵を対象,checkbox,1
11,予約値（赤属性直後）,number,1
12,攻撃範囲（単体・範囲）,checkbox,1
13,攻撃発生前（1段目）,number,1
14,対象レイヤー最小値,number,1
15,対象レイヤー最大値,number,1
16,浮いている敵を対象,checkbox,1
17,黒い敵を対象,checkbox,1
18,メタルな敵を対象,checkbox,1
19,無属性（白い敵）を対象,checkbox,1
20,天使を対象,checkbox,1
21,エイリアンを対象,checkbox,1
22,ゾンビを対象,checkbox,1
23,めっぽう強い,checkbox,1
24,ふっとばす発動確率,number,1
25,動きを止める発動確率,number,1
26,動きを止める効果時間,number,1
27,動きを遅くする発動確率,number,1
28,動きを遅くする効果時間,number,1
29,打たれ強い,checkbox,1
30,超ダメージ,checkbox,1
31,クリティカル発動確率,number,1
32,ターゲット限定,checkbox,1
33,撃破時のお金アップ,checkbox,1
34,城破壊が得意,checkbox,1
35,波動・小波動の発動確率,number,1
36,波動・小波動のレベル,number,1
37,攻撃力ダウン発動確率,number,1
38,攻撃力ダウン効果時間,number,1
39,攻撃力ダウン後の攻撃力割合,number,1
40,攻撃力アップ発動体力割合,number,1
41,攻撃力アップ増加割合,number,1
42,生き残る発動確率,number,1
43,メタル攻撃能力,checkbox,1
44,遠方攻撃の最短射程,number,4
45,遠方攻撃の射程差,number,4
46,波動ダメージ無効,checkbox,1
47,波動ストッパー・波動ブロック,checkbox,1
48,ふっとばす無効,checkbox,1
49,動きを止める無効,checkbox,1
50,動きを遅くする無効,checkbox,1
51,攻撃力ダウン無効,checkbox,1
52,ゾンビキラー,checkbox,1
53,魔女キラー,checkbox,1
54,魔女特性フラグ（旧形式候補）,number,1
55,攻撃ループ・自爆までの攻撃回数,number,1
56,衝撃波無効,checkbox,1
57,死亡までの時間（特殊・旧形式候補）,number,1
58,ユニット状態（ガラス・自壊系）,number,1
59,攻撃力（2段目）,number,1
60,攻撃力（3段目）,number,1
61,攻撃発生前（2段目）,number,1
62,攻撃発生前（3段目）,number,1
63,1段目の効果・能力コード,number,1
64,2段目の効果・能力コード,number,1
65,3段目の効果・能力コード,number,1
66,生産アニメーション種別,number,1
67,撃破後の魂・昇天エフェクトID,number,1
68,生産アニメーション拡張フラグ候補,number,1
69,昇天エフェクト拡張フラグ候補,number,1
70,バリアブレイカー発動確率,number,1
71,予約値（バリアブレイカー後・A）,number,1
72,予約値（バリアブレイカー後・B）,number,1
73,予約値（バリアブレイカー後・C）,number,1
74,予約値（バリアブレイカー後・D）,number,1
75,ワープ無効,checkbox,1
76,予約値（ワープ無効後）,number,1
77,エヴァ・使徒キラー,checkbox,1
78,古代種（レリック）を対象,checkbox,1
79,呪い無効,checkbox,1
80,超打たれ強い,checkbox,1
81,極ダメージ・超大ダメージ,checkbox,1
82,渾身の一撃発動確率,number,1
83,渾身の一撃倍率,number,1
84,攻撃無効化発動確率,number,1
85,攻撃無効化効果時間,number,1
86,烈波・小烈波の発動確率,number,1
87,烈波の発生位置（近端）,number,1
88,烈波の射程差,number,1
89,烈波持続・発生間隔,number,1
90,毒撃無効,checkbox,1
91,烈波無効,checkbox,1
92,呪い発動確率,number,1
93,呪い効果時間,number,1
94,小波動判別フラグ,checkbox,1
95,悪魔シールドブレイカー発動確率,number,1
96,悪魔を対象,checkbox,1
97,超生命体・超獣系キラー,checkbox,1
98,墓手（死体）キラー,checkbox,1
99,2段目の遠方攻撃フラグ,checkbox,1
100,2段目の遠方攻撃・近端,number,1
101,2段目の遠方攻撃・射程差,number,1
102,3段目の遠方攻撃フラグ,checkbox,1
103,3段目の遠方攻撃・近端,number,1
104,3段目の遠方攻撃・射程差,number,1
105,超獣特効の有効フラグ,checkbox,1
106,超獣特効の攻撃無効化確率,number,1
107,超獣特効の攻撃無効化時間,number,1
108,小烈波判別フラグ,checkbox,1
109,烈波カウンター,checkbox,1
110,召喚・精霊ユニットID,number,1
111,超賢者特効,checkbox,1
112,メタルキラー割合,number,1
113,爆波発動確率,number,1
114,爆波の発生位置（近端）,number,1
115,爆波の射程差,number,1
116,爆波無効,checkbox,1
