chapter	stage	name
0	0	長崎県
0	1	佐賀県
0	2	鹿児島県
0	3	熊本県
0	4	宮崎県
0	5	大分県
0	6	福岡県
0	7	高知県
0	8	愛媛県
0	9	徳島県
0	10	香川県
0	11	山口県
0	12	広島県
0	13	島根県
0	14	岡山県
0	15	鳥取県
0	16	兵庫県
0	17	和歌山県
0	18	大阪府
0	19	京都府
0	20	奈良県
0	21	三重県
0	22	滋賀県
0	23	福井県
0	24	石川県
0	25	愛知県
0	26	岐阜県
0	27	富山県
0	28	静岡県
0	29	山梨県
0	30	長野県
0	31	新潟県
0	32	神奈川県
0	33	千葉県
0	34	東京都
0	35	埼玉県
0	36	群馬県
0	37	栃木県
0	38	茨城県
0	39	福島県
0	40	宮城県
0	41	山形県
0	42	岩手県
0	43	秋田県
0	44	青森県
0	45	北海道
0	46	沖縄県
0	47	西表島
1	0	長崎県
1	1	佐賀県
1	2	鹿児島県
1	3	熊本県
1	4	宮崎県
1	5	大分県
1	6	福岡県
1	7	高知県
1	8	愛媛県
1	9	徳島県
1	10	香川県
1	11	山口県
1	12	広島県
1	13	島根県
1	14	岡山県
1	15	鳥取県
1	16	兵庫県
1	17	和歌山県
1	18	大阪府
1	19	京都府
1	20	奈良県
1	21	三重県
1	22	滋賀県
1	23	福井県
1	24	石川県
1	25	愛知県
1	26	岐阜県
1	27	富山県
1	28	静岡県
1	29	山梨県
1	30	長野県
1	31	新潟県
1	32	神奈川県
1	33	千葉県
1	34	東京都
1	35	埼玉県
1	36	群馬県
1	37	栃木県
1	38	茨城県
1	39	福島県
1	40	宮城県
1	41	山形県
1	42	岩手県
1	43	秋田県
1	44	青森県
1	45	北海道
1	46	沖縄県
1	47	西表島
2	0	長崎県
2	1	佐賀県
2	2	鹿児島県
2	3	熊本県
2	4	宮崎県
2	5	大分県
2	6	福岡県
2	7	高知県
2	8	愛媛県
2	9	徳島県
2	10	香川県
2	11	山口県
2	12	広島県
2	13	島根県
2	14	岡山県
2	15	鳥取県
2	16	兵庫県
2	17	和歌山県
2	18	大阪府
2	19	京都府
2	20	奈良県
2	21	三重県
2	22	滋賀県
2	23	福井県
2	24	石川県
2	25	愛知県
2	26	岐阜県
2	27	富山県
2	28	静岡県
2	29	山梨県
2	30	長野県
2	31	新潟県
2	32	神奈川県
2	33	千葉県
2	34	東京都
2	35	埼玉県
2	36	群馬県
2	37	栃木県
2	38	茨城県
2	39	福島県
2	40	宮城県
2	41	山形県
2	42	岩手県
2	43	秋田県
2	44	青森県
2	45	北海道
2	46	沖縄県
2	47	西表島
4	0	日本
4	1	韓国
4	2	中国
4	3	モンゴル
4	4	ロシア
4	5	ノルウェー
4	6	イギリス
4	7	デンマーク
4	8	ドイツ
4	9	フランス
4	10	スペイン
4	11	モナコ
4	12	イタリア
4	13	ギリシャ
4	14	トルコ
4	15	ドバイ
4	16	インド
4	17	ネパール
4	18	タイ
4	19	カンボジア
4	20	フィリピン
4	21	シンガポール
4	22	オーストラリア
4	23	深淵の大渦
4	24	マダガスカル
4	25	ケニア
4	26	サウジアラビア
4	27	エジプト
4	28	サハラ
4	29	ガーナ
4	30	南アフリカ
4	31	アルゼンチン
4	32	イースター島
4	33	マチュピチュ
4	34	コロンビア
4	35	ジャマイカ
4	36	メキシコ
4	37	ハリウッド
4	38	ラスベガス
4	39	アラスカ
4	40	カナダ
4	41	グリーンランド
4	42	ニューヨーク
4	43	NASA
4	44	バミューダ
4	45	ブラジル
4	46	浮遊大陸
4	47	月
5	0	日本
5	1	韓国
5	2	中国
5	3	モンゴル
5	4	ロシア
5	5	ノルウェー
5	6	イギリス
5	7	デンマーク
5	8	ドイツ
5	9	フランス
5	10	スペイン
5	11	モナコ
5	12	イタリア
5	13	ギリシャ
5	14	トルコ
5	15	ドバイ
5	16	インド
5	17	ネパール
5	18	タイ
5	19	カンボジア
5	20	フィリピン
5	21	シンガポール
5	22	オーストラリア
5	23	深淵の大渦
5	24	マダガスカル
5	25	ケニア
5	26	サウジアラビア
5	27	エジプト
5	28	サハラ
5	29	ガーナ
5	30	南アフリカ
5	31	アルゼンチン
5	32	イースター島
5	33	マチュピチュ
5	34	コロンビア
5	35	ジャマイカ
5	36	メキシコ
5	37	ハリウッド
5	38	ラスベガス
5	39	アラスカ
5	40	カナダ
5	41	グリーンランド
5	42	ニューヨーク
5	43	NASA
5	44	バミューダ
5	45	ブラジル
5	46	浮遊大陸
5	47	月
6	0	日本
6	1	韓国
6	2	中国
6	3	モンゴル
6	4	ロシア
6	5	ノルウェー
6	6	イギリス
6	7	デンマーク
6	8	ドイツ
6	9	フランス
6	10	スペイン
6	11	モナコ
6	12	イタリア
6	13	ギリシャ
6	14	トルコ
6	15	ドバイ
6	16	インド
6	17	ネパール
6	18	タイ
6	19	カンボジア
6	20	フィリピン
6	21	シンガポール
6	22	オーストラリア
6	23	深淵の大渦
6	24	マダガスカル
6	25	ケニア
6	26	サウジアラビア
6	27	エジプト
6	28	サハラ
6	29	ガーナ
6	30	南アフリカ
6	31	アルゼンチン
6	32	イースター島
6	33	マチュピチュ
6	34	コロンビア
6	35	ジャマイカ
6	36	メキシコ
6	37	ハリウッド
6	38	ラスベガス
6	39	アラスカ
6	40	カナダ
6	41	グリーンランド
6	42	ニューヨーク
6	43	NASA
6	44	バミューダ
6	45	ブラジル
6	46	浮遊大陸
6	47	月
7	0	地球
7	1	火星
7	2	木星
7	3	土星
7	4	金星
7	5	水星
7	6	太陽
7	7	ウラヌス
7	8	ネプチューン
7	9	トリトン
7	10	プルートゥ
7	11	赤い長方形星雲
7	12	エスキモー星雲
7	13	キャッツアイ星雲
7	14	卵星雲
7	15	ひょうたん星雲
7	16	アルタイル
7	17	シリウス
7	18	カノープス
7	19	ベガ
7	20	アルデバラン
7	21	ベテルギウス
7	22	デネブ
7	23	惑星スナック
7	24	サイータ星
7	25	魁皇星
7	26	大マゼラン星雲
7	27	ブータラ星
7	28	モスカンダグ
7	29	コロン星
7	30	ヤキソパーン
7	31	ウメ星
7	32	ダラララ
7	33	マイドムリ
7	34	メルトズ
7	35	ウラルー
7	36	アグハムム
7	37	ソモロン
7	38	アバ・ブア
7	39	ティターン
7	40	デススタン
7	41	ゴリラの惑星
7	42	チョイバトロン星
7	43	クリムゾン星
7	44	N77星雲
7	45	アンドロメダ
7	46	ブラックホール
7	47	ビッグバン
8	0	地球
8	1	火星
8	2	木星
8	3	土星
8	4	金星
8	5	水星
8	6	太陽
8	7	ウラヌス
8	8	ネプチューン
8	9	トリトン
8	10	プルートゥ
8	11	赤い長方形星雲
8	12	エスキモー星雲
8	13	キャッツアイ星雲
8	14	卵星雲
8	15	ひょうたん星雲
8	16	アルタイル
8	17	シリウス
8	18	カノープス
8	19	ベガ
8	20	アルデバラン
8	21	ベテルギウス
8	22	デネブ
8	23	惑星スナック
8	24	サイータ星
8	25	魁皇星
8	26	大マゼラン星雲
8	27	ブータラ星
8	28	モスカンダグ
8	29	コロン星
8	30	ヤキソパーン
8	31	ウメ星
8	32	ダラララ
8	33	マイドムリ
8	34	メルトズ
8	35	ウラルー
8	36	アグハムム
8	37	ソモロン
8	38	アバ・ブア
8	39	ティターン
8	40	デススタン
8	41	ゴリラの惑星
8	42	チョイバトロン星
8	43	クリムゾン星
8	44	N77星雲
8	45	アンドロメダ
8	46	ブラックホール
8	47	ビッグバン
9	0	地球
9	1	火星
9	2	木星
9	3	土星
9	4	金星
9	5	水星
9	6	太陽
9	7	ウラヌス
9	8	ネプチューン
9	9	トリトン
9	10	プルートゥ
9	11	赤い長方形星雲
9	12	エスキモー星雲
9	13	キャッツアイ星雲
9	14	卵星雲
9	15	ひょうたん星雲
9	16	アルタイル
9	17	シリウス
9	18	カノープス
9	19	ベガ
9	20	アルデバラン
9	21	ベテルギウス
9	22	デネブ
9	23	惑星スナック
9	24	サイータ星
9	25	魁皇星
