campaign	group	name	stages
0	0	九州の男らしさ	0,1,2,3,4,5,6
0	1	四国のうまいもん	7,8,9,10
0	2	中国の伝統	11,12,13,14,15
0	3	関西のノリ	16,17,18,19,20,21,22
0	4	北陸の豪邸	23,24,27
0	5	東海のがめつさ	25,26,28
0	6	甲信越の雪景色	29,30,31
0	7	関東のカリスマ	32,33,34,35,36,37,38
0	8	東北の魂	39,40,41,42,43,44
0	9	北海道のデカさ	45
0	10	南国の風	46,47
1	0	ブルークリスタル	0,4,7,10,13,16,19,22
1	1	レッドクリスタル	24,27,30,33,36,39,42,45
1	2	古代の石版	1,2,3
1	3	未知なる力	23
1	4	宇宙エネルギー	5,6,8,9,11
1	5	暗黒の果実	28,29,31,32
1	6	紅血の果実	20,21,25,26
1	7	飛翔の果実	34,35,37,38
1	8	天界の果実	40,41,43,44
1	9	タイムマシン	12,14,15,17,18
1	10	未来テクノロジー	46,47
2	0	グリーンクリスタル	0,1,2,3,4
2	1	イエロークリスタル	9,10,11,12,13
2	2	オレンジクリスタル	18,19,20,21,22
2	3	ライトブルークリスタル	27,28,29,30,31
2	4	パープルクリスタル	36,37,38,39,40
2	5	鋼鉄の果実	5,6,7,8
2	6	冥界の果実	14,15,16,17
2	7	異星の果実	23,24,25,26
2	8	ダークマター	32,33,34,35
2	9	ニュートリノ	41,43,45,47
2	10	謎のお面	42,44,46
